epoch,train_loss,val_loss,train_miou,val_miou
1,0.015307667550261297,0.012303921794204288,0.5544325844100482,0.5799099049080478
2,0.013249134379187684,0.012286383792352595,0.5912976369903594,0.535915768425144
3,0.012974394138470638,0.01082764132148642,0.5893890379326074,0.6311784143901086
4,0.012496313401303132,0.012193728101377985,0.5964722152765338,0.5946619064803434
5,0.012279034142984932,0.009868058905728599,0.6037716054167931,0.6630702498326976
6,0.011938357080485719,0.009941459363935791,0.606870414021146,0.6530028802645015
7,0.011591144936472309,0.01003653763091215,0.6043462417004809,0.6692207997129649
8,0.011486479186174455,0.00961213260037185,0.6069944384980993,0.6458976965385618
9,0.011326183842115888,0.009586872418733672,0.6112599667733988,0.6498248308606839
10,0.011011037430944828,0.009488234892560897,0.6148574395877736,0.6714806091518742
11,0.010983345139084262,0.009898922869458439,0.6122655523382209,0.5998597948205009
12,0.010937411985662266,0.009457427902682596,0.608525664096956,0.6383076323840701
13,0.010529683316359563,0.009225969995219506,0.6132282626997853,0.6439095491916581
14,0.010367058484407162,0.009024009046199235,0.617559841997195,0.6738028632188668
15,0.010553536535064705,0.009084883084596474,0.6112583450722294,0.6466331306787048
16,0.010342073780820329,0.009746964588081289,0.6174191648127277,0.6787691391654335
17,0.01015117068127048,0.009152185729146145,0.6193751205100059,0.6544987870250231
18,0.009891264587737479,0.009476687059652697,0.6248108617455203,0.6806166537748161
19,0.010037715056333758,0.010029710882515405,0.6216699190544452,0.6622483782846375
20,0.009846719897908475,0.009045616014690748,0.6173974488573621,0.6598850234059311
21,0.00982075757370892,0.00913442616849372,0.618450216690011,0.677607473010078
22,0.009635826660521884,0.009756744756608782,0.620130312325735,0.6299446429427892
23,0.009573531283883214,0.009105286863335007,0.6230681485840414,0.6608351899208287
24,0.009558845134195266,0.009779172165151909,0.6230158629843295,0.6682109797609761
25,0.00939722498573536,0.009206337134353223,0.6266609670513459,0.6723264862943023
26,0.009396650860316106,0.008899024288820322,0.6247860948028142,0.6758107535393411
27,0.009178301311156604,0.009221090384327751,0.6310519983687062,0.6322296620551476
28,0.009055835448243378,0.010265929742717122,0.6300902699222876,0.6887307782179222
29,0.008953369430976847,0.009333192112086566,0.6369903398742506,0.6590585362212905
30,0.008965915878999791,0.009891146095417365,0.6326075325099606,0.6769516813753178
31,0.008842481705727366,0.00961095936507254,0.638256211465433,0.6792133676004227
32,0.00867559526385223,0.00930435206343673,0.6380741269098302,0.6746591675608
33,0.008742636749511761,0.010075712275108076,0.6359048674511372,0.6743495354316419
34,0.008615271355420622,0.009748917480047196,0.6449444039845881,0.6290191547352239
35,0.008627192553246291,0.01035621963849753,0.6361877292544444,0.6650607132258656
36,0.008650411688605118,0.00925716865713401,0.6315964450881167,0.636130276659378
37,0.008645536850105292,0.00953407952039641,0.632804529946012,0.6642427331339179
38,0.008602167208193704,0.010518848351621925,0.6320904301310749,0.6783731950669548
39,0.008272139247508184,0.010459137652717632,0.6447331225749992,0.6873784940447369
40,0.00820724966297766,0.012002952181326727,0.650361080234018,0.689254510521747
41,0.008274582364661621,0.010366216052842091,0.6415655867983837,0.6619953597989873
42,0.00800436655247473,0.009868284712454939,0.6518670463230862,0.6531407407176387
43,0.008189185552461278,0.009974802589869202,0.6411576181938518,0.6630376601501005
44,0.008017163768401272,0.010110609074822923,0.6520891316443632,0.6712993239161035
45,0.007969939117748194,0.010088241031832772,0.6485131818464819,0.6601495584535646
46,0.007911627115655708,0.009624829082191524,0.6513974615524559,0.6794357038242179
47,0.007722708241208392,0.009988462674668878,0.6587135606194899,0.6614886328221447
48,0.00792175805708341,0.010746936756243221,0.6569934855141759,0.6719916119273582
49,0.0077976913032834945,0.010250064920805407,0.6554133596744036,0.6592426396402128
50,0.007722253605619501,0.010410915554211888,0.6621276241175506,0.637368823452365
