model,test_miou,test_acc,iou_ice,iou_thin,iou_open_water,macro_f1
fusion_v3 (prof data + v1 capacity + focal),0.8949184978300009,0.9485979066103627,0.9341459562212823,0.7974456864474375,0.9531638508212826,0.9430940516062568
fusion_v2 (prof-style LSTM + focal),0.8020157573078196,0.9151204962200128,0.8991641601645572,0.7164402838871459,0.7904428278717558,0.8882202847656849
fusion_deep_v1 (Bi-LSTM + weighted CE),0.8915314847733274,0.9511643298531955,0.9395679364036168,0.8014916516215358,0.93353486629483,
"lstm_sweep winner (hidden_96, segments only)",0.6977803454256706,0.9594085346157988,0.967074682367524,0.5426857406552839,0.5835806132542037,0.8079536043383225
