,ice IoU,thin IoU,water IoU,mIoU
U-Net (img only),0.9299489471301787,0.7683114173670643,0.9130414080779049,0.870433924191716
Bi-LSTM (CSV only),0.7254417444605072,0.0,0.0004767536376022779,0.24197283269936984
late A: uniform avg,0.8992167616905249,0.6754731109148584,0.8496875297083809,0.8081258007712547
late B: alpha=1.00,0.9299489471301787,0.7683114173670643,0.9130414080779049,0.870433924191716
late C: per-class alpha,0.9299489471301787,0.7683114173670643,0.9130414080779049,0.870433924191716
Deep fusion,0.9395679364036168,0.8014916516215358,0.93353486629483,0.8915314847733274
