epoch,train_loss,train_miou,train_acc,val_loss,val_miou,val_acc,val_ice,val_thin,val_water
1,0.04191219037762139,0.13844923963298209,0.26513581159638194,0.03882130484185418,0.10478220157929696,0.17359279337055006,0.000385593363780821,0.17069234311636045,0.1432686682577496
2,0.039104078987204444,0.1408054133968967,0.25878926093985394,0.03832643083468851,0.12133513116889012,0.20934641359959283,0.04871998785587801,0.17420730799601766,0.14107809765477475
3,0.03828009629122368,0.14785360180861376,0.26535531660405604,0.03728749035518039,0.10544012813247487,0.176905328841962,0.004625933884662236,0.17123933393598273,0.14045511657677967
4,0.038186435258334005,0.15127079599707793,0.27149955819292765,0.0373776893339094,0.12806206278885743,0.19244129716756067,0.023949224821294288,0.17265947430523423,0.18757748924004378
5,0.03758383266309776,0.15641975616744389,0.2780197975112171,0.03644868486818235,0.1932244522904755,0.32969819374129433,0.20631358948467754,0.1889209163293357,0.18443885105741328
6,0.03716071890439929,0.16061640865173513,0.2825118034351163,0.036245963220573066,0.1308235360443177,0.18751303365117392,0.01726055111596905,0.1716362594866927,0.20357379753029134
7,0.03709371907000498,0.16031383647795136,0.2846352443462465,0.036083289539745024,0.18745081699439703,0.30726896731733166,0.17600097812472465,0.18616057790600224,0.20019089495246425
8,0.03702616811979834,0.16200444947007306,0.2839513551898119,0.03580630922622777,0.17173275018610112,0.26707115324570746,0.12151062405060328,0.18182242181001684,0.2118652046976832
9,0.03695814550013804,0.16033187780776081,0.28477414860958006,0.03601191530428642,0.14765540064580748,0.21805323918864847,0.05736473999788399,0.17526031533698325,0.21034114660255523
10,0.03658531045132294,0.16704928133064376,0.2891626009126989,0.03573436048857769,0.1963484582464472,0.3170460302781461,0.1874002062473495,0.18831566273753234,0.2133295057544597
11,0.03658240208992871,0.16643492718233507,0.29066547169917967,0.03576662571881025,0.16259168712496008,0.26666120469704274,0.12132108404123183,0.18253665655463105,0.18391732077901735
12,0.03671427473721162,0.16723994454334612,0.2918982527604917,0.03603897927805732,0.19004226887680495,0.32560659515044066,0.1999668220568147,0.18948866617348098,0.18067131840011913
13,0.03661731022932544,0.16759726839025865,0.2945806362280032,0.0355502633178533,0.2297419892769984,0.39048768561279534,0.28405362719672667,0.19852834671723738,0.20664399391703117
