epoch,train_loss,val_loss,train_miou,val_miou
1,0.015147934669014039,0.010846870831078449,0.5354876904697461,0.630567893568765
2,0.012626274764728747,0.01137388006278834,0.5829189582563902,0.49924907100778954
3,0.01227089379141093,0.010610186882201177,0.5849508925948408,0.6165221112628575
4,0.011933365312090627,0.011635797791013256,0.586313230648719,0.5784973076607337
5,0.011790669844747888,0.009740535128754802,0.5897303169240683,0.6481648526249923
6,0.011489108937941698,0.009706468550649567,0.5995186993295692,0.6514645564128964
7,0.011198516532893372,0.00967649459236292,0.5993713187564279,0.6656092003937663
8,0.01106981906154643,0.00940017238920721,0.6044981159780171,0.6420573995231317
9,0.010974805639283628,0.009349419215301177,0.609272742682405,0.6362985020113427
10,0.010696729547971686,0.009151273358707648,0.6048053292059927,0.6555402415711361
11,0.010587886855348333,0.009673811496398817,0.60858756381693,0.6111778260845476
12,0.010477317686866225,0.009012276966511816,0.604175262306248,0.6433975750156017
13,0.010178380844190042,0.008925556881737677,0.6098150397648205,0.6504244960988625
14,0.0101458145243496,0.009251066245913198,0.6135585589342464,0.6370867989500445
15,0.010068484372207535,0.008618844170820443,0.6120764641833597,0.6394940757144879
16,0.010054536573355304,0.009217098386600104,0.6150647633831676,0.6521624582282793
17,0.009881558957708298,0.008611672131749418,0.613751309665167,0.6651307084866592
18,0.009649799308039596,0.008755104445944129,0.6158043024714083,0.6777774327680817
19,0.009641807632536662,0.009037182536717566,0.6221049188691398,0.645017531807591
20,0.009619808048788054,0.008553123070308215,0.6162594197292216,0.670036706110244
21,0.009541140353212818,0.008628441390304777,0.6206082489502655,0.6537021047991401
22,0.00940643351031774,0.00846446406960945,0.6214837717629974,0.6610255839064463
23,0.00940467412121345,0.008367913234660027,0.6204440756396544,0.6715067029276498
24,0.00937770706242256,0.008565598842341733,0.6168733289724674,0.67212914783329
25,0.009185420108799431,0.008233389476278405,0.623520864204578,0.6602267127735916
26,0.009292245967110233,0.008410564261275708,0.6274114986811057,0.6650553856558604
27,0.008997895734995792,0.008482174519364486,0.6303350353653244,0.681794535689832
28,0.008986784638730904,0.008961901189797061,0.6246061416921124,0.6857268889596803
29,0.008919179307842045,0.008503462955249917,0.6315304427012252,0.6625388130213957
30,0.008770057668922667,0.008489267455464236,0.6297687443379232,0.6671614718488487
31,0.008822679515981915,0.008530722359933421,0.6314340345468205,0.6695617267021059
32,0.008762930891777237,0.00844243189300698,0.6271521317408553,0.6565960576795883
33,0.008655392615865148,0.008626787859471954,0.6336764422630373,0.6821940461182425
34,0.00858443871825824,0.00845419325092639,0.6348781598931823,0.623257989290836
35,0.008527591516400878,0.008688735805263128,0.6352532589901753,0.6572419889129099
36,0.00874429527624974,0.008869635221163158,0.6283109488648488,0.6451848919437119
37,0.00861754594466547,0.00795950228010978,0.6312502651793802,0.6546266303517565
38,0.00833609636080362,0.008889658063544864,0.631777483386497,0.6812077601701695
39,0.008458186054521505,0.008259124070697087,0.6340470642039415,0.6652459705382053
40,0.008262402042186529,0.008315459636393673,0.6395972861340867,0.6817983911333547
41,0.008272269179660879,0.008448104523510431,0.6384842172540385,0.6648096022535434
42,0.008115301581304114,0.007961599232785744,0.640968384779992,0.6559727974786228
43,0.008242455600330515,0.00811181577970633,0.6416151399191529,0.6394818624973543
44,0.008043066549975095,0.007814047970468863,0.6448298606119759,0.6644632751625753
45,0.00790972850887113,0.008132145776699828,0.6434367753319683,0.6779877256999755
46,0.007981732074893284,0.008360504279652094,0.6450156354682117,0.6694585540009562
47,0.007832198881019457,0.00801806693079914,0.6449173061345364,0.6426638128945817
48,0.007820845788253953,0.008274803305713195,0.650030110485963,0.6578569239399101
49,0.007882140667418434,0.008259442372296345,0.6459904815654983,0.6659874777022353
50,0.007693652407327527,0.00874899072462299,0.6520706930556698,0.6430870083917313
