epoch,train_loss,train_miou,train_acc,val_loss,val_miou,val_acc,val_ice,val_thin,val_open_water
1,1.0909719724363545,0.13626153240226205,0.30869330204334866,1.0922068625314947,0.06973448286199263,0.1658971122922359,0.01661316269988447,0.16839301295223466,0.024197272933858774
2,1.0844936880140583,0.13776092160014877,0.2953382758418363,1.0853142917290335,0.07006366585005865,0.16764399431327345,0.016754655795929635,0.16888024579234573,0.024556095961900594
3,1.0805203316438354,0.13923705280622511,0.2985616884905626,1.094082887157627,0.07050076813446086,0.16725937407920818,0.01982608645894225,0.16751703419406472,0.024159183750375627
4,1.0807663738261997,0.1350375568862899,0.2899153308428726,1.193038521702747,0.01403298921490126,0.03600378393117835,0.017554205571268564,0.002847815375206401,0.021696946698228817
5,1.0794642148392157,0.13493443296424482,0.2893191123376644,1.0933373277240739,0.26176596138002467,0.74645535697843,0.7560203165103169,0.005395684672928083,0.023881882956829106
6,1.0782755285041585,0.15128359622669482,0.3273147471088708,1.0780006356526963,0.2733291361980308,0.7483994440928694,0.7494927771922679,0.05298295415849793,0.017511677243326456
7,1.0793702453857468,0.14335296071228645,0.3075897462437507,1.1545388575383453,0.014768266924015602,0.0368102026767418,0.01822465996589864,0.00436528730199128,0.021714853504156886
8,1.0744228405392857,0.15732755972144272,0.34087555911296163,1.1130619440305582,0.015398721415694797,0.03693637339028849,0.017943426686070206,0.006534333925310293,0.02171840363570389
9,1.0728502575613972,0.15466775981295633,0.33295144160876256,1.0969761333626002,0.07062855114603973,0.16848976906122765,0.018973470210008624,0.16852587873888572,0.024386304489224863
10,1.0689484877094901,0.16582789553926272,0.3600492057720351,1.21124898521997,0.015459867107450278,0.03707260218487156,0.01807629632236077,0.006566589999722891,0.021736715000267172
11,1.0658215193163443,0.1651475223346876,0.35706666774535367,1.190032354763284,0.2583895714374775,0.7194612985968807,0.7304568791897986,0.02117821346640361,0.02353362165623024
