epoch,train_loss,train_miou,val_loss,val_miou,val_iou_ice,val_iou_thin,val_iou_water,val_pix_acc,lr
1,0.01045135806457327,0.6630195706507206,0.007546843218158216,0.7936160070254495,0.8781574523822453,0.6085175939615836,0.8941729747325199,0.8978678123828083,0.0008861836648977279
2,0.008226906296352731,0.7116002919141072,0.0139662508181106,0.5218648405938785,0.5561937173230462,0.30277203543062936,0.7066287690279599,0.6317356575165073,0.000878908421410562
3,0.006939198774045686,0.753152829813736,0.009539392172969334,0.5971521081590501,0.7192544179801246,0.415187552097082,0.6570143543999436,0.7647998253529981,0.0008668716137176258
4,0.006248887411102925,0.7750904998055702,0.008280975781748351,0.6803688465416106,0.8867636903704407,0.619780202571825,0.534562646682566,0.8980594914173832,0.0008502051196028669
5,0.005901064525504608,0.7870542139978808,0.007836119745109902,0.7507480390021146,0.8724530726234244,0.6015686842044419,0.7782223601784778,0.8913611822108881,0.0008290915406634952
6,0.005730933750317312,0.7929972429224561,0.006749089406073799,0.7462772351064512,0.890155240543016,0.6352633877887225,0.7134130769876152,0.9046269801732595,0.0008037622016886704
7,0.005902608128696845,0.7877092623096908,0.007309836483166639,0.8258199581832643,0.9239879081255888,0.7007914274456994,0.8526805389785043,0.934146480137265,0.0007744946162167057
8,0.005435060375020839,0.8034596646592158,0.009104276218057497,0.6687380249657388,0.7601551938167017,0.4513720901281495,0.7946867909523654,0.8003017188881187,0.0007416094460386682
9,0.0057695449580844466,0.7925049768268267,0.00535192439677073,0.7976488012278843,0.8694765489814644,0.6089954455259682,0.9144744091762204,0.8923597050724746,0.0007054669879606925
10,0.005227778210299709,0.8093260889060451,0.0064974011870600635,0.7686908399390139,0.8877703834533551,0.6349969053625163,0.7833052310011703,0.9042304707380733,0.0006664632263167766
11,0.00515434328385376,0.8124571422796292,0.011299933008406562,0.5859643209309615,0.6322793258690897,0.3481816059610262,0.7774320309627686,0.6959458582784207,0.0006250254944815531
12,0.005172374815163316,0.8120023998606096,0.0054566508282179954,0.7840072223721912,0.8686366617086814,0.6087671873110859,0.8746178180968065,0.891037832562798,0.0005816077929164115
13,0.005013221525942066,0.8170116163432818,0.004849938391714324,0.8259797574109765,0.9082772778003857,0.6837866067122055,0.8858753877203386,0.9230580278292584,0.0005366858150454377
14,0.004942142435937989,0.8200165192293382,0.010216758499950008,0.8008840492647208,0.9282986466619609,0.6902128017297519,0.7841406994024498,0.9355081533499243,0.0004907517354587144
15,0.0047349570762357535,0.8262409874445641,0.025295572634995923,0.7594314370115488,0.8764843536805792,0.5813835118186419,0.8204264455354254,0.893547591909672,0.00044430881754451784
16,0.0047092936432064315,0.827828916098317,0.0067592440418508684,0.7820315694520303,0.9145074435530712,0.6854869636995243,0.7461003011034952,0.9249026328053848,0.00039786589963032115
17,0.0046535158195716,0.8293021396407793,0.0049080256304634695,0.8019695032469601,0.892828534365094,0.6527677366765924,0.8603122386991939,0.9102211828261445,0.0003519318200435977
18,0.004550494089837629,0.8335107647913332,0.005471123156528834,0.7938575295733813,0.9060013670394529,0.6750662043663797,0.8005050173143117,0.9194708766628663,0.00030700984217262397
19,0.004435974742014744,0.837370897330718,0.004351351052609674,0.8333394476293553,0.9131098003501713,0.6983688022213452,0.8885397403165491,0.9272246892641534,0.00026359214060748246
20,0.004286460340553298,0.8422140555118439,0.005169931496116818,0.8192635148465043,0.9226032615301705,0.712929950279649,0.8222573327296933,0.9332797259849124,0.00022215440877225895
21,0.004315310750293642,0.8414685538458911,0.0055190549851949515,0.7827478328221495,0.8904326546408394,0.6425917284687638,0.8152191153568452,0.9071225417997629,0.000183150647128343
22,0.0041145062405564935,0.8479716889058774,0.0056734608404867635,0.8115062818994634,0.9292069081819166,0.7249357025311836,0.7803762349852896,0.9376604584371316,0.00014700818905036741
23,0.004008964677579082,0.8511066491313247,0.004164763319158489,0.8495517448948581,0.9309640482942678,0.7402382268354688,0.8774529595548375,0.9413560184522494,0.0001141230188723298
24,0.003939894492249572,0.8534408239692831,0.004473928906824602,0.8334918969730927,0.9257837213149167,0.7253467909418703,0.8493451786624908,0.9365808627337974,8.485543340036513e-05
25,0.0038779906931378674,0.8560672328475977,0.00382592210779241,0.846354124104753,0.9212471002117207,0.719172833780323,0.8986424383222152,0.9340614311490477,5.952609442554026e-05
26,0.003788259761921193,0.8585191693729687,0.003756446698212514,0.8433624898838891,0.9203387706351819,0.7173933776307,0.8923553213857852,0.9332401934102278,3.841251548616838e-05
27,0.0037213559498479477,0.860989165691882,0.004357305015840948,0.8314208279434636,0.92792146930135,0.7312471623660945,0.8350938521629464,0.9380815898977419,2.1746021371409706e-05
28,0.0036903543550579343,0.8623555031377211,0.0035033048139103727,0.8647404678285766,0.9339971166972713,0.7527104568625955,0.9075138299258629,0.9445665539952319,9.709213678473481e-06
29,0.0036418897666962726,0.8638659035195267,0.0035086407570493086,0.8651745112053839,0.9346060162991162,0.7542533535653488,0.9066641637516865,0.9450387540870601,2.433970191307591e-06
30,0.0036160363882273244,0.8644881233029524,0.0037113096323820264,0.8445393213762123,0.9272981278178447,0.733652133084769,0.8726677032260235,0.9384545890589843,0.0
