epoch,train_loss,val_loss,train_miou,val_miou
1,0.015755802007389554,0.01174313113750269,0.5475155212684205,0.5979621390317856
2,0.013308881370173867,0.010739391363513276,0.5919560972657584,0.6520787820710127
3,0.012862154564664772,0.010891561477344987,0.6018074524296267,0.6551954045858198
4,0.012457254081803152,0.010482885651800335,0.6025878043385943,0.6527364859169439
5,0.012205258275156342,0.011299455161268597,0.6011935590817448,0.643888425557851
6,0.011938204150999023,0.010475097478435879,0.6063139556496239,0.6795237857348821
7,0.011685051007937408,0.009829420345079219,0.6088520901323567,0.6693803086972826
8,0.011473133219549077,0.009914582482798865,0.6120741672190668,0.677754905303095
9,0.011380878555091296,0.009494923900321632,0.6161161706215329,0.6596888716573035
10,0.010939475163100463,0.009180351602119543,0.6147828758580287,0.6582910238097749
11,0.010897180242586959,0.009253797437652467,0.6147329877377691,0.6710768187104534
12,0.01054798257980429,0.009806294052216304,0.6229319413779092,0.6160610068799354
13,0.010433188430806904,0.009042551388609689,0.625196238249732,0.6712017434072045
14,0.010533550289497588,0.008991530385629014,0.6210131421780474,0.6647839827760836
15,0.009996598049122316,0.008913120921714621,0.6292556481685255,0.6631874326222321
16,0.010114429988152691,0.009431848692419734,0.6301357432710769,0.6682025636944108
17,0.009915445286882303,0.008621586720860714,0.6332940348440635,0.6674781406877762
18,0.009629797116297694,0.008744208328746776,0.6298601204580748,0.6817333640199252
19,0.009559346675212908,0.008576427804432902,0.6353223309908321,0.6697061272152611
20,0.009586239429952447,0.008577021522603468,0.6299103723619256,0.6795827278954737
21,0.009339975940750322,0.00879710499382025,0.6371078780632081,0.6772020506175945
22,0.009218878448998486,0.008619552288750883,0.6405079738067941,0.6437742154161313
23,0.009161725067758182,0.008305557924826935,0.6367728522241641,0.6814404330057129
24,0.00890895141826357,0.00896036233005868,0.6398823738875881,0.6778507569597361
25,0.008724931320640388,0.008278932688683587,0.6421758555300943,0.6686438080357867
26,0.008672453362818638,0.009100597875752434,0.6464237966684397,0.6729188386741226
27,0.008537996094517879,0.008080050876403237,0.643522681047911,0.6579136474571802
28,0.0084160756040857,0.008630635329582083,0.6481397632959204,0.6721881527500889
29,0.00808912386931577,0.008354195618309091,0.6554143586103026,0.6575337136895607
30,0.008274208675363059,0.009717604878562644,0.6502741446145633,0.6786470425480364
31,0.008058334747237987,0.008903279792344803,0.6518843892618654,0.6746778645909166
32,0.007995909710505317,0.008675193480978019,0.6620738564584119,0.676214112933562
33,0.007805144249265129,0.00910805788685742,0.6638285200756038,0.6718860969974992
34,0.007842881784148029,0.008592821522771157,0.6515562092191759,0.6591660383762964
35,0.007736396529066763,0.008947218386119433,0.6541758926294018,0.6747896363808198
36,0.007578336588083272,0.009097874027821917,0.6620362767531706,0.6761111792695608
37,0.007435863601348408,0.009191107087310073,0.6655652026979912,0.6865640410591715
38,0.007410633795574719,0.008514331808555082,0.6560745402173572,0.6708821906474287
39,0.007133983019391637,0.00919417121924649,0.6701684452647725,0.6695913348522741
40,0.007049382901082855,0.009945360181720736,0.6741897346461592,0.669282617760126
41,0.00705508401156092,0.009074991892236449,0.6691572291474182,0.6786615180312131
42,0.006904313069025267,0.010316775696648744,0.6717335548354706,0.6636620601071331
43,0.006815070373871096,0.009729848787838195,0.6770805266755584,0.6755545932079728
44,0.006773373613948761,0.010116096314870659,0.673674463637932,0.6585532509212256
45,0.006715047578242648,0.010125759833921687,0.6832804816025896,0.6632802894689224
46,0.006822176806013512,0.010094087171714483,0.674379902089742,0.6751794961222796
47,0.00659603089848739,0.010765846327641175,0.6797969277475825,0.6372363950109857
48,0.006724182293279035,0.00965666171819359,0.6806624905898261,0.6758823467124607
49,0.006392988881998115,0.01078505025288858,0.6888702500515768,0.6814418305134806
50,0.006360384955896845,0.010882990138218446,0.6865578735636371,0.6991636725613731
