epoch,train_loss,train_miou,train_acc,val_loss,val_miou,val_acc,val_ice,val_thin,val_water,lr
1,0.01063635991963898,0.5569371371996585,0.9451576791158537,0.008147820133987108,0.6090839888402725,0.9531568228105907,0.9606580006902106,0.5332606324972737,0.3333333333333333,0.0008886176350890356
2,0.009642994521572091,0.5734549453560654,0.9496117568597561,0.008066676330148395,0.598480647176583,0.9540143638117697,0.9598527550903025,0.5511064278187566,0.28448275862068967,0.0008886176350890356
3,0.009385242527203934,0.5739493441790899,0.9500047637195121,0.008661931620548178,0.5279264130411045,0.9505841998070532,0.9575422851225406,0.5396984924623116,0.08653846153846154,0.0008886176350890356
4,0.009420643498898,0.5602526463903673,0.9487900152439024,0.008361186236036792,0.5275053685465011,0.9633401221995926,0.9712775735294118,0.6112385321100917,0.0,0.0008886176350890356
5,0.009275831853268223,0.5689637270402494,0.9498380335365854,0.008167563835702024,0.6051583633773119,0.9485475399292529,0.955450673420053,0.511340206185567,0.34868421052631576,0.0008886176350890356
6,0.00915625080647149,0.5691004358178752,0.9496593940548781,0.007824719608691988,0.5901653177353285,0.9596955729445814,0.9662985967333794,0.586015538290788,0.21818181818181817,0.0008886176350890356
7,0.00935510589632519,0.5623243227544735,0.9488971989329268,0.007915228569705623,0.6180274083815541,0.9562654089398649,0.9631803014612818,0.5551876379690949,0.3357142857142857,0.0008886176350890356
8,0.00922057310669804,0.5676377384239967,0.9489567454268293,0.007956804471995503,0.6354770459414939,0.9611962696966448,0.9678123922289918,0.5825581395348837,0.3560606060606061,0.0008886176350890356
9,0.009124478628697344,0.5680020400635611,0.9499213986280488,0.008541131954518756,0.6141167708389418,0.9533712080608854,0.962157809983897,0.5238095238095238,0.35638297872340424,0.0008886176350890356
10,0.00915056459583999,0.5700587462339131,0.9493378429878049,0.008032126597450564,0.6294374688018408,0.960660306570908,0.9676862925482981,0.580046403712297,0.34057971014492755,0.0008886176350890356
11,0.009205492934076418,0.5631409181502253,0.9493854801829268,0.008043195266918112,0.6248341823929678,0.9596955729445814,0.9677085727418984,0.5648584905660378,0.3419354838709677,0.0008886176350890356
12,0.009134658749932963,0.5657595079643452,0.9493378429878049,0.008019616770802046,0.5292201211208734,0.9608746918212027,0.9683835364451598,0.5982241953385128,0.021052631578947368,0.0008886176350890356
13,0.009150797131341521,0.5661075376218224,0.9494688452743902,0.008224048227273819,0.5071158616279717,0.9539071711866224,0.9612242549764124,0.5601233299075026,0.0,0.0008886176350890356
14,0.009014978529770947,0.577005186515963,0.9506478658536586,0.008281716388713231,0.6251121131018125,0.9633401221995926,0.9716872994039432,0.5791457286432161,0.32450331125827814,0.0004443088175445178
15,0.008836852847918368,0.576379266139624,0.9519936166158537,0.008049455784706073,0.5815479248138398,0.9373995069139244,0.9425313831625014,0.47128532360984504,0.3308270676691729,0.0004443088175445178
16,0.008692998155810329,0.5796274804303759,0.9512790586890244,0.007742295879760839,0.549354774872289,0.960124343445171,0.9675638371290545,0.5922651933701657,0.08823529411764706,0.0004443088175445178
17,0.008836209700547909,0.571223157109392,0.9509455983231707,0.007816753536882074,0.6239014887138973,0.959588380319434,0.9661874640598045,0.5772727272727273,0.3282442748091603,0.0004443088175445178
18,0.008751580102675578,0.5788553141093612,0.9518983422256098,0.007697382036924781,0.6057691974210374,0.9520848965591168,0.9591390423572744,0.5317796610169492,0.3263888888888889,0.0004443088175445178
19,0.008827610431603163,0.5771786062591181,0.9512790586890244,0.007692883152499522,0.5580292174906966,0.9586236466931075,0.9657195444610607,0.5821545157780196,0.1262135922330097,0.0004443088175445178
20,0.008751155101136403,0.578290675329526,0.9513862423780488,0.007862025795514734,0.5743411741961856,0.9637688927001822,0.9710644161212538,0.607728337236534,0.14423076923076922,0.0002221544087722589
