epoch,train_loss,train_miou,train_acc,val_loss,val_miou,val_acc,val_ice,val_thin,val_water
1,0.01573355531901696,0.5492509041564477,0.9243754785604901,0.011685853766726815,0.6227533410879363,0.9375852415476276,0.9498465483081465,0.39572586588061903,0.5226876090750436
2,0.013196826462957839,0.5979986812885919,0.9353345137825421,0.011100077147844743,0.632464632796255,0.9427176799942574,0.9542841606463139,0.43878697117184573,0.5043227665706052
3,0.012746872164058188,0.6054289232727735,0.9355139739663093,0.011070995889208325,0.6074165197992435,0.9347857296676477,0.9489022731688362,0.3685778108711839,0.5047694753577107
4,0.012410242820682203,0.6022265167768305,0.9342338246554365,0.01052114831147443,0.6538869456414007,0.9529825568875171,0.9653033533630548,0.4735243055555556,0.5228331780055918
5,0.011992611287900311,0.6130939025631028,0.9371889356814701,0.011381896387182129,0.6642114920987487,0.9557820687674969,0.9667247049719482,0.4960212201591512,0.5298885511651469
6,0.011896877710105442,0.6030994366101908,0.9334920558958653,0.010316460797225322,0.6462213389256637,0.9504701744311248,0.9613206083178151,0.4943204073638856,0.4830230010952902
7,0.011630671775169245,0.6149060499882593,0.9373683958652373,0.010629987174574336,0.6346618521616444,0.9459119948316703,0.9593151908070966,0.4238193018480493,0.5208510638297872
8,0.011370590521157456,0.6126167354845261,0.9349875574272588,0.009774164190257425,0.666693686925507,0.9544182040054554,0.9649034359730086,0.5027368421052631,0.5324407826982492
9,0.011320436847839037,0.613999291750507,0.9371291156202144,0.009632939650655686,0.649503830792382,0.9469528389921757,0.9578980075348584,0.4553359683794466,0.535277516462841
10,0.011006440242266092,0.6196789851291201,0.9381939127105666,0.00984201068800673,0.6434354295890294,0.9446916947814227,0.9554761257236101,0.44765625,0.5271739130434783
11,0.010941707809870367,0.6194488269656483,0.9375837480857581,0.00975988008604098,0.6782058728317968,0.9566793482162085,0.9660484246469037,0.5317052270779777,0.5368639667705088
12,0.01084977577935696,0.6168111199218599,0.9358370022970903,0.00964128082930586,0.6312446855372776,0.9441533271121958,0.9544165079858548,0.4779464931308749,0.4613710554951034
13,0.010610563459509847,0.6202964765728268,0.9376316041347627,0.009244029910875442,0.6492012306001719,0.9473835331275573,0.9583883751651255,0.45867430441898527,0.5305410122164049
14,0.010307098971234113,0.6227516523244727,0.9375598200612557,0.009975249901106797,0.6396270797882287,0.9440815447562989,0.9550168977974595,0.4471357170319108,0.516728624535316
15,0.010450745232817417,0.6188786330071552,0.9373444678407351,0.009196588814413138,0.6444937885250631,0.9414614887660613,0.9509095149253731,0.43794525684289465,0.5446265938069217
16,0.010421987958149475,0.6241453532069174,0.9369616194486983,0.009241984118009873,0.6594764952237491,0.9537721628023832,0.9645103673215811,0.5154639175257731,0.4984552008238929
17,0.010187101785414803,0.6293171618674706,0.9386844372128637,0.009170636227286217,0.6840112261771417,0.9582944512238891,0.968187461204221,0.5290723479804705,0.5547738693467337
18,0.010055165398638367,0.6305940788994288,0.9396176301684533,0.008945374843060723,0.647794258948979,0.942610006460412,0.951220460199005,0.458006718924972,0.5341555977229602
19,0.009914790090097002,0.6319225226905313,0.9394860260336907,0.008972670961709284,0.6510843651227024,0.9470605125260211,0.9567397388059702,0.48228571428571426,0.5142276422764228
20,0.009930818002499144,0.6286873819446701,0.9383494448698315,0.008821146280210143,0.6428952358857445,0.941748618189649,0.9512973120161824,0.44771611929029825,0.5296722763507529
21,0.009904891358392355,0.6270373526164269,0.937176971669219,0.0089429805373345,0.6582266032011242,0.9500753714736918,0.9605953444992811,0.4814660558100791,0.5326184092940125
22,0.009567460003713196,0.6281847136143556,0.9376435681470138,0.008763372435883425,0.6689214417250793,0.9545258775393008,0.9650287222480981,0.5024498886414254,0.5392857142857143
23,0.00967250798948034,0.6291395368014249,0.9392826378254211,0.00870879715372458,0.674363093269767,0.9571459335295385,0.9676330189777622,0.5270079849694692,0.528448275862069
24,0.009598246041141506,0.6288452966120351,0.938780149310873,0.008848105105824485,0.6783982906546845,0.9562845452587754,0.9660714285714286,0.5205843293492696,0.5485391140433553
25,0.00941320976944748,0.631660272306329,0.9380982006125574,0.008727240821128166,0.6738831389838102,0.9531620127772593,0.961965811965812,0.5151006711409396,0.5445829338446788
26,0.00928261252860881,0.6322398838433548,0.9391510336906586,0.008597460327512607,0.6672528386990718,0.9496446773383103,0.958663866853321,0.4901645925331192,0.552930056710775
27,0.00921774999303221,0.6371978670305756,0.9400004785604901,0.009625273438565117,0.6495163962014106,0.9512238891680425,0.9641719126447501,0.4670525378450579,0.5173247381144238
28,0.00915743090966638,0.6384835259554452,0.9397372702909648,0.008937827719992006,0.6667626056143042,0.954454095183404,0.9662729250854833,0.48756218905472637,0.5464527027027027
29,0.009096615241257424,0.6362807796172945,0.9400124425727412,0.008653826201299163,0.6731581502164964,0.952121168616754,0.9617418351477449,0.4941812136325852,0.5635514018691589
30,0.009047013737331626,0.638241687351544,0.938947645482389,0.008876592743038482,0.6678105574817028,0.9544899863613524,0.9659165986553185,0.4966292134831461,0.540885860306644
31,0.00896315693683894,0.6394050613525061,0.9393903139356815,0.008625504011608508,0.6877635525554192,0.9587251453592707,0.9687063208572759,0.52994555353902,0.564638783269962
32,0.00884715656343743,0.6410188372806133,0.9405029670750383,0.008426932219480616,0.6806296693147517,0.9552437010982701,0.964471740651481,0.5231101511879049,0.5543071161048689
33,0.008827919815071972,0.6431902184704926,0.9400602986217458,0.008454934109715534,0.6796651526220315,0.955315483454167,0.9647616457515832,0.5174367916303401,0.5567970204841713
34,0.008705235481957311,0.6353757670004587,0.9377632082695253,0.008602161682576881,0.6528661578592637,0.9397746034024836,0.9474114441416893,0.44796863863150393,0.5632183908045977
35,0.008675847024016636,0.6412525757999926,0.9394501339969372,0.008561554269060384,0.6320836345467952,0.9352164238030292,0.9448469268520683,0.4129424383267787,0.5384615384615384
36,0.008511417805251347,0.639112123679652,0.9385647970903522,0.008570352466804376,0.6669048278186933,0.9500753714736918,0.9593201882316338,0.49072164948453606,0.5506726457399103
37,0.00847992364799509,0.6456638555872952,0.940479039050536,0.00851127738288505,0.6861449429061497,0.9573971717751777,0.9661833871030435,0.5487959442332065,0.543455497382199
38,0.00861594480755015,0.6372930220812923,0.9391271056661562,0.008569043460134589,0.6523591752720257,0.9442251094680928,0.9534223121522238,0.46010120669521215,0.5435540069686411
39,0.008415166078614315,0.6441009103523955,0.9398808384379785,0.009350689545301324,0.6629927319396265,0.9542028569377647,0.9662637490769171,0.49220183486238533,0.5305126118795769
