,ice,thin ice,water,mIoU
"U-Net
(image only)",0.9299489471301787,0.7683114173670643,0.9130414080779049,0.870433924191716
"Bi-LSTM
(CSV only)",0.7254417444605072,0.0,0.0004767536376022779,0.24197283269936984
Deep fusion,0.9395679364036168,0.8014916516215358,0.93353486629483,0.8915314847733274
