epoch,train_loss,train_miou,train_acc,val_loss,val_miou,val_acc,val_ice,val_thin,val_water,lr
1,0.010601881182349355,0.5607379381354993,0.9459317835365854,0.00941051274524513,0.5235114937515238,0.9630185443241505,0.9710028653295129,0.5995316159250585,0.0,0.0008886176350890356
2,0.009424911113112059,0.5632922490677822,0.9485875571646342,0.00827920382582312,0.6313795880934503,0.9634473148247401,0.9719068914115354,0.5782828282828283,0.34394904458598724,0.0008886176350890356
3,0.009240384930762957,0.5650764174817279,0.9496593940548781,0.008157087616959977,0.5142889520807555,0.9564797941901597,0.9638180565127499,0.5685224839400428,0.010526315789473684,0.0008886176350890356
4,0.009018389264505591,0.5767245818210222,0.9502905868902439,0.008233750299961397,0.5119837314256904,0.9545503269375067,0.9618039576622182,0.5637305699481865,0.010416666666666666,0.0008886176350890356
5,0.009011156677466138,0.5732548673340331,0.9503024961890244,0.007905567821674508,0.6029495326219373,0.9455461464251259,0.9497869399976967,0.5139289145052833,0.34513274336283184,0.0008886176350890356
6,0.008818904647918449,0.5816680713000588,0.9510408727134146,0.007886823345710866,0.6263030274573792,0.955193482688391,0.9621360340660605,0.5443592552026287,0.3724137931034483,0.0008886176350890356
7,0.008886286341161084,0.5706304402936503,0.9499333079268293,0.007947188761107834,0.647646385977317,0.9632329295744453,0.9707978845711658,0.5890243902439024,0.38311688311688313,0.0008886176350890356
8,0.008809066212872894,0.5802773004369826,0.9506240472560976,0.007691030273483925,0.6229503745267654,0.9569085646907493,0.9641049240681087,0.555431131019037,0.3493150684931507,0.0008886176350890356
9,0.008790452134224146,0.5757838207774829,0.9502905868902439,0.007834779025878175,0.519005533364592,0.9568013720656019,0.9643596229018165,0.5720384204909285,0.020618556701030927,0.0008886176350890356
10,0.008796875788492598,0.573204872888721,0.9494926638719512,0.007814551111959023,0.519505237236404,0.9602315360703184,0.9680606617647058,0.5904550499445061,0.0,0.0008886176350890356
11,0.008759750043182288,0.5750875764117587,0.949778487042683,0.007757376886678921,0.6485364798962369,0.9629113516990031,0.9703243616287095,0.5875299760191847,0.3877551020408163,0.0008886176350890356
12,0.008742536160409101,0.5816390261778089,0.9515529725609756,0.007628560840224681,0.6224413618900052,0.9549790974380963,0.9615517439852653,0.5481081081081081,0.35766423357664234,0.0008886176350890356
13,0.008648230232710176,0.5787491367620426,0.9510051448170732,0.007522730276825961,0.6194269257573936,0.9522992818094115,0.9586738805111086,0.5327004219409283,0.3669064748201439,0.0008886176350890356
14,0.008757782999875816,0.5724173358391568,0.950266768292683,0.007588330728355494,0.6193164206743653,0.9625897738235609,0.9683544303797469,0.6065759637188208,0.2830188679245283,0.0008886176350890356
15,0.008663411197947026,0.5760513668741931,0.9503739519817073,0.00792282457412879,0.5507300972057518,0.9624825811984136,0.9704060564349621,0.5944055944055944,0.08737864077669903,0.0008886176350890356
16,0.008702727095879242,0.5761615180835838,0.9505287728658537,0.007681269443890717,0.638070443505388,0.959052417193697,0.9660568404096191,0.5662100456621004,0.3819444444444444,0.0008886176350890356
17,0.008619995883491799,0.5734334699692069,0.9496593940548781,0.0076350752567847045,0.5226925111522842,0.953799978561475,0.9613259668508287,0.5577319587628866,0.049019607843137254,0.0004443088175445178
18,0.008468254928618812,0.5740108595678383,0.9508265053353658,0.0074361886916789344,0.6260179347348998,0.9587308393182549,0.9657234874626179,0.5667420814479638,0.34558823529411764,0.0004443088175445178
19,0.008488837748156983,0.5811799867398298,0.9515291539634146,0.0074870004635617686,0.6351347459513752,0.9600171508200236,0.966877515813686,0.5735632183908046,0.36496350364963503,0.0004443088175445178
20,0.00847352904547068,0.5817986032718165,0.951148056402439,0.007699473179494552,0.5310552318647995,0.960660306570908,0.968721251149954,0.5944444444444444,0.03,0.0004443088175445178
21,0.008563029121477285,0.5717146414677566,0.9512909679878049,0.007393095605914938,0.6427388923193652,0.9640904705756244,0.9698642742121003,0.6105263157894737,0.34782608695652173,0.0004443088175445178
22,0.008405184489985425,0.5874832038252055,0.9523508955792683,0.007413084500971717,0.6341443657511541,0.9644120484510665,0.9702161913523459,0.6140350877192983,0.3181818181818182,0.0004443088175445178
23,0.008444447551682527,0.5905321738977796,0.951588700457317,0.007598740787567587,0.6457059805567782,0.9633401221995926,0.9713760202322106,0.585995085995086,0.379746835443038,0.0002221544087722589
