epoch,train_loss,val_loss,train_miou,val_miou
1,0.017177740169753597,0.011743670787792496,0.5175742363343924,0.6272301717717365
2,0.014309510123207496,0.011671722646708469,0.5753078371501557,0.6213827994089332
3,0.013746626913753605,0.011005740077937592,0.579324451177986,0.6236382630523001
4,0.013311417696394589,0.011896297089745274,0.5850953855159106,0.5803195331336751
5,0.013131159244965945,0.010449469866334438,0.583794632967635,0.6453389642200148
6,0.012968026574938715,0.01077909840059088,0.5909547267775129,0.6336476996547749
7,0.012522948940099497,0.010358373465783501,0.5926366820551533,0.6607861422286717
8,0.012526738240640642,0.01019873599601855,0.5970942784893475,0.6352912835736723
9,0.012351392477708526,0.010362606458657728,0.6019590960435263,0.6433541809516986
10,0.012236814451906481,0.009939891610009171,0.5965460037749793,0.665395206073192
11,0.012003990726785771,0.011901964909719395,0.603766483480594,0.5770379031223961
12,0.012011428202257654,0.010975130739022218,0.6018181822718861,0.5806953616937459
13,0.011657770069248818,0.009873712426264423,0.6047730340335534,0.641650289681227
14,0.011518891081714465,0.009787961369557414,0.6065594154890935,0.6412878065034933
15,0.011687086124324694,0.009469557172480773,0.6069397917689636,0.6556102349991723
16,0.011437243520339079,0.009777206556376858,0.6088411322139389,0.6701610940646833
17,0.011259829432446033,0.009563541044412241,0.6089495550116255,0.6589418614182797
18,0.011020934464376343,0.009834153409097903,0.6100747485659451,0.6783218191654866
19,0.011068892936802282,0.01127463890913286,0.6134254760071479,0.5980519515267637
20,0.010972777466243526,0.009562902160047718,0.6077974230509553,0.675088876765581
21,0.01096291275605872,0.009344229844199442,0.6071021340374952,0.6610591044797421
22,0.010772420142677517,0.009367590449558113,0.6073817291799196,0.6591430604532138
23,0.010829749621780625,0.009176339497990465,0.6167203230026372,0.6592276593117056
24,0.010713418386368492,0.009536247674588189,0.6147754190758237,0.6689555063483817
25,0.010606027952433086,0.009530875865412838,0.6170273908836491,0.6582413681398546
26,0.010586586400178713,0.009481731767912008,0.6197817242402908,0.6847445952932526
27,0.010486113251849921,0.009293824568294645,0.6187482112998829,0.6756792776703177
28,0.010437851822499155,0.010075593816674788,0.618959886130707,0.6836490492529356
29,0.010344948043377237,0.008982549822996124,0.6220722277874753,0.6737657547862757
30,0.010310269273792758,0.009353236072449783,0.6191944541167156,0.6551965458926553
31,0.010053593207689185,0.009362810105977228,0.6238549262528217,0.6720968094126524
32,0.010238428131618736,0.008934466654706548,0.61901776930302,0.6809835611931545
33,0.010206668665325968,0.00959972181037696,0.6217041044449708,0.6717757565885663
34,0.009958097784087624,0.009684562108453669,0.6255993700002771,0.6191760270494351
35,0.010029270336978835,0.008858421313764365,0.6258154974514731,0.6621978699936553
36,0.010166246211546232,0.008763861355973897,0.6222049606619476,0.6776674083939614
37,0.010040625630136545,0.008851289975472654,0.6206505650148236,0.6596535646105297
38,0.009899155999452538,0.009402945904911454,0.6152521593082426,0.6701721927097721
39,0.009869844957433462,0.00873717265563784,0.6242892208536643,0.6730406861965
40,0.00969194435945897,0.008791249193703122,0.6300419065524083,0.6764364242723947
41,0.009763457434498196,0.00921571335250387,0.6300599641273928,0.6565461993589583
42,0.0096237967241615,0.008717150208797476,0.6330678144601342,0.6650743868127537
43,0.009827823542060875,0.009198327908677417,0.6261280784496588,0.6736882123492208
44,0.009599162024582393,0.008753136271639577,0.6277518787652657,0.6890258575604373
45,0.009412954608199083,0.008859358882427126,0.6373874603965232,0.6625079493782028
46,0.00947251755496279,0.008927553968983646,0.6317186733575869,0.6741171472191798
47,0.00920915154818077,0.008977522997718201,0.6374248474264045,0.6194737986596541
48,0.009444721550231882,0.008569356783195758,0.6357599529583472,0.6628493209020894
49,0.009233190762719666,0.008721615644756627,0.6331985756250603,0.6558113153483124
50,0.00927990566443771,0.009002128696298692,0.6352737576410846,0.6590608540573774
