epoch,train_loss,train_miou,val_loss,val_miou,val_iou_ice,val_iou_thin,val_iou_open_water,val_pix_acc,lr
1,0.012166017514728749,0.6675871329194396,0.00564574488064161,0.791127690542314,0.8715579842139967,0.6125026485280853,0.88932243888486,0.8935850644742613,9.972609476841367e-05
2,0.005851349618485362,0.8026107778663567,0.00411014506485775,0.8454927047691735,0.9169531248504977,0.7085181361039941,0.9110068533530284,0.9308053203351012,9.890738003669029e-05
3,0.004765589110675358,0.8259976031826408,0.004460343214019943,0.820016121589887,0.8910971191354944,0.6528610519587889,0.9160901936753778,0.9100700500220152,9.755282581475769e-05
4,0.004273427788043258,0.8377810574247149,0.0036320689907258573,0.8455174802353463,0.9114258761625732,0.6981044576797657,0.9270221068637001,0.9267783406640918,9.567727288213003e-05
5,0.003920551978453438,0.8493420791543853,0.0031691434550240078,0.8600432228825888,0.9229400629046244,0.7273008191882652,0.929888786554877,0.9362056400695952,9.330127018922194e-05
6,0.0035913754687587752,0.8604588441109242,0.003273856185137552,0.8591709836675804,0.935476349600291,0.7565745753605758,0.8854620260418741,0.9453628623420424,9.045084971874738e-05
7,0.0034497248440258283,0.8649338687841822,0.002844463594100765,0.8777586357273472,0.9355267037882687,0.7603766157137826,0.9373725876799904,0.9465125310871872,8.715724127386972e-05
8,0.0033091949524798733,0.8694387072620698,0.0029088851548116634,0.88270698209356,0.9403168515608843,0.7732832238871459,0.9345208708326501,0.9503096724890008,8.345653031794292e-05
9,0.003219181721561188,0.872657353408929,0.03868946145457987,0.7485099864961189,0.9243929183403743,0.6236620052578448,0.6974750358901377,0.926772193332379,7.938926261462366e-05
10,0.0031137001441515523,0.8760567175320652,0.002646803798592665,0.8853219351237677,0.9416692670698027,0.7778503590617281,0.9364461792397722,0.9514760763637764,7.500000000000001e-05
11,0.002927990705734928,0.8829584212187517,0.006401059583574294,0.8641006587658246,0.9475976080290835,0.7770432371914485,0.8676611310769415,0.9542441936751648,7.033683215379003e-05
12,0.0028693922357466897,0.8848798362434774,0.002744676624843367,0.8880004859113639,0.9514483318038757,0.8042008549622627,0.9083522709679535,0.958760409394504,6.545084971874738e-05
13,0.0027989343839070033,0.8870161916535784,0.0023780411056340774,0.9159958683530826,0.9602463018463473,0.8352686876851035,0.952472615527797,0.9667803426015215,6.039558454088797e-05
14,0.002669690670899865,0.8915287147859221,0.0026356439183701738,0.8921958155891412,0.9577169476804047,0.8232975827387106,0.8955729163483085,0.9635677797470167,5.522642316338269e-05
15,0.002588435007366082,0.8947803731086772,0.002233720809685482,0.8979820425277781,0.9468932932605086,0.7951843991615005,0.9518684351613251,0.9560890798590184,5.000000000000002e-05
16,0.0025479976243886772,0.8966671876954918,0.0032293528327535766,0.8646423175410826,0.9529898043127917,0.8042281092414937,0.8367090390689622,0.9585192181807832,4.4773576836617344e-05
17,0.00241730370105027,0.9010745465982142,0.002435055965505605,0.9214183173487438,0.9641586832332246,0.8480938357149068,0.9520024330980996,0.9699172278788137,3.9604415459112035e-05
18,0.0023516448995129706,0.9036250492297803,0.0022939531817175282,0.9069734565492217,0.954126607289999,0.8165660769403101,0.9502276854173555,0.9618386334319418,3.4549150281252636e-05
19,0.0023052921565178577,0.9052652296121467,0.00202868533744126,0.9114945901232329,0.9565214115487867,0.8250569590935243,0.952905399727388,0.963863250591818,2.966316784621e-05
20,0.002218886746848556,0.9088202314329088,0.0021003700988773337,0.9240387076675525,0.9644163956591982,0.8504564503963727,0.9572432769470863,0.9702921758750034,2.5000000000000015e-05
21,0.002146567415210728,0.911795329753772,0.0021028719554495295,0.9198193834833313,0.9651569647882172,0.8520824544356594,0.9422187312261169,0.9705743776389056,2.0610737385376352e-05
22,0.0021049863790256317,0.9133623840434758,0.001829595552724652,0.9179188930638027,0.95940823709361,0.8351914177501032,0.9591570243476949,0.9663326729791131,1.654346968205711e-05
23,0.0020237465599986936,0.916452716120837,0.0017672666404847338,0.9274405956340516,0.9654715791472914,0.8555147620150501,0.9613354457398132,0.9712705891142318,1.2842758726130304e-05
24,0.001974093354430984,0.9186131693221623,0.0018050799197286327,0.9190698734845809,0.9624823214147972,0.8448179169470429,0.9499093820919026,0.968627184160037,9.549150281252636e-06
25,0.0019263199837729278,0.9205553590209972,0.001774919036328577,0.9297206687605741,0.9689843263493784,0.8671054227208768,0.9530722572114675,0.9739257524752558,6.698729810778068e-06
26,0.0018696230073568054,0.9225616114156919,0.00167567180008611,0.9303170645195961,0.9680812346571241,0.8645776150293694,0.9582923438722946,0.9733146030675761,4.322727117869953e-06
27,0.0018421468627887563,0.9239974804101485,0.0016605617634358927,0.9277895601860644,0.9663961620101522,0.8588202602419889,0.9581522583060524,0.9719542508772635,2.447174185242324e-06
28,0.001815369041784235,0.9250310471078254,0.0016004917516234292,0.9303159753914502,0.9672995034626284,0.8623249929000355,0.961323429811687,0.972757700592404,1.092619963309716e-06
29,0.0017990027204288664,0.9255815123597092,0.001597098880592639,0.9319639095535243,0.9683008331555881,0.8658076898947769,0.9617832056102078,0.9735701489548176,2.7390523158633003e-07
30,0.0017899641148776536,0.9258456992203906,0.0016511372941868758,0.9285767624039543,0.9680622229413908,0.8642958227402167,0.9533722415302552,0.973203375601863,0.0
