name,alpha,gamma,hidden,lr,dropout,seq_len,seed,test_miou,test_acc,test_iou_ice,test_iou_thin,test_iou_water,test_f1_macro,best_val_miou
baseline,"[0.05,0.45,0.6]",2.0,48,0.0008886176350890356,0.4,5,42,0.6588650725977672,0.9453755876969457,0.9532880698351115,0.4602739726027397,0.5630331753554503,0.775638704309113,0.6891920507448789
"alpha_[0.02,0.44,0.54]","[0.02,0.44,0.54]",2.0,48,0.0008886176350890356,0.4,5,42,0.6048432181858877,0.9141154936654344,0.9197838090053659,0.3530791788856305,0.5416666666666666,0.7276028773366111,0.6827874738715144
"alpha_[0.05,0.45,0.5]","[0.05,0.45,0.5]",2.0,48,0.0008886176350890356,0.4,5,42,0.6495846552563492,0.937049133259161,0.9431566686080373,0.4341687257324391,0.5714285714285714,0.7678278610040833,0.6966869306465702
"alpha_[0.05,0.5,0.45]","[0.05,0.5,0.45]",2.0,48,0.0008886176350890356,0.4,5,42,0.6496086308417998,0.9389512974195169,0.9463751795907273,0.4328304597701149,0.569620253164557,0.7674722577964367,0.6857268889596803
"alpha_[0.041,0.409,0.55]","[0.041,0.409,0.55]",2.0,48,0.0008886176350890356,0.4,5,42,0.649619954516476,0.9404227829020565,0.9478304781882454,0.4452690166975881,0.5557603686635945,0.7679487198747609,0.6926789323956642
gamma_1.0,"[0.05,0.45,0.6]",1.0,48,0.0008886176350890356,0.4,5,42,0.6573477619366438,0.9444783404514948,0.9524012889699888,0.46006144393241166,0.559580552907531,0.7744729909092144,0.698254476601496
gamma_3.0,"[0.05,0.45,0.6]",3.0,48,0.0008886176350890356,0.4,5,42,0.6449689815505805,0.9409970211391451,0.9491558315544343,0.4410430839002268,0.5447080291970803,0.7637627196925711,0.694762287032075
gamma_5.0,"[0.05,0.45,0.6]",5.0,48,0.0008886176350890356,0.4,5,42,0.6434924254084836,0.9413559200373255,0.9500853242320819,0.4321223709369025,0.5482695810564663,0.7620368131795661,0.689555227732256
hidden_32,"[0.05,0.45,0.6]",2.0,32,0.0008886176350890356,0.4,5,42,0.678109841560321,0.9556042062950867,0.9641543761854992,0.5111507582515611,0.5590243902439025,0.7918006148172786,0.6926964775828505
hidden_64,"[0.05,0.45,0.6]",2.0,64,0.0008886176350890356,0.4,5,42,0.6442428600284872,0.9330294655995406,0.9394092499028371,0.4128595600676819,0.5804597701149425,0.7625782444631405,0.6965250895942354
hidden_96,"[0.05,0.45,0.6]",2.0,96,0.0008886176350890356,0.4,5,42,0.6977803454256706,0.9594085346157988,0.967074682367524,0.5426857406552839,0.5835806132542037,0.8079536043383225,0.6991636725613731
lr_5e-04,"[0.05,0.45,0.6]",2.0,48,0.0005,0.4,5,42,0.6418818147748322,0.9391666367584252,0.9479919210751184,0.42450037009622504,0.5531531531531532,0.7605325471118333,0.6900630606352075
lr_1e-03,"[0.05,0.45,0.6]",2.0,48,0.001,0.4,5,42,0.6606081693357974,0.9452320281376736,0.9525768394908414,0.4669260700389105,0.5623215984776403,0.7773903788870259,0.6863960140228121
lr_2e-03,"[0.05,0.45,0.6]",2.0,48,0.002,0.4,5,42,0.6374170338472607,0.9320963284642716,0.9393892299323957,0.3994546693933197,0.5734072022160664,0.7561642100058888,0.689254510521747
dropout_0.2,"[0.05,0.45,0.6]",2.0,48,0.0008886176350890356,0.2,5,42,0.6423865122887208,0.9349675196497147,0.9417886684012271,0.41672522839072385,0.5686456400742115,0.7611100778790396,0.6949737813983314
dropout_0.3,"[0.05,0.45,0.6]",2.0,48,0.0008886176350890356,0.3,5,42,0.6411809718227589,0.9423249470624125,0.9523606150023296,0.4300864100549882,0.541095890410959,0.7597681388241599,0.6907058959448733
dropout_0.5,"[0.05,0.45,0.6]",2.0,48,0.0008886176350890356,0.5,5,42,0.6476122569603745,0.9440835516634964,0.953982850269662,0.4340962904498816,0.5547576301615799,0.765156311658306,0.6890258575604373
seq_3,"[0.05,0.45,0.6]",2.0,48,0.0008886176350890356,0.4,3,42,0.6614095212183099,0.9511932531849991,0.9608884409644158,0.4836272040302267,0.539712918660287,0.7776877275935298,0.6768299904015693
seq_7,"[0.05,0.45,0.6]",2.0,48,0.0008886176350890356,0.4,7,42,0.674436949447872,0.9486719310839914,0.9561819595645412,0.48963629253030894,0.577492596248766,0.7890519400978019,0.6934827094519115
seed_7,"[0.05,0.45,0.6]",2.0,48,0.0008886176350890356,0.4,5,7,0.6836613968667365,0.9531995836772781,0.9609562989986804,0.504424778761062,0.585603112840467,0.7964426669783452,0.6881120158430365
seed_123,"[0.05,0.45,0.6]",2.0,48,0.0008886176350890356,0.4,5,123,0.6398963862775491,0.9464163945016689,0.9581943690374621,0.4380165289256198,0.5234782608695652,0.758353647664741,0.6878459727685962
