epoch,train_loss,val_loss,val_miou,iou_ice,iou_thin,iou_open_water,pix_acc,lr
1,0.22745008721220783,0.12771507055221948,0.8410395867112491,0.9222734852514861,0.7133141809175872,0.8875310939646737,0.9342199015129447,9.972609476841367e-05
2,0.11017226758299441,0.09084829441715281,0.8552618518931386,0.9357825277903915,0.7512032849242801,0.8787997429647444,0.9451100500554986,9.890738003669029e-05
3,0.09115951154210673,0.08070556417691942,0.878327867331886,0.9463813809046466,0.7845083445315529,0.9040938765594585,0.9543312765146188,9.755282581475769e-05
4,0.07803468214824977,0.07834062794478686,0.8809717388755005,0.9463416569434908,0.7857897981158589,0.9107837615671518,0.9544992817823851,9.567727288213003e-05
5,0.07132337504441327,0.06507426438052644,0.9001386524973934,0.961463090469169,0.8331801632226457,0.9057727038003657,0.9666762499644239,9.330127018922194e-05
6,0.06592916487148259,0.06281720193598504,0.9004637803332135,0.9637362390526218,0.8387531851911659,0.898901916755853,0.9682144758518161,9.045084971874738e-05
7,0.06226373855138152,0.05699648367867495,0.9059169258300459,0.9619976258262555,0.8371122599065031,0.9186408917573792,0.9673813489118752,8.715724127386972e-05
8,0.05891579341586316,0.05427009614756684,0.9104529648683362,0.9672197006942019,0.8534391414731556,0.9107000524376508,0.9713763166799763,8.345653031794292e-05
9,0.05598751429422963,0.053053201323812776,0.920403209931477,0.9708595187899124,0.8682741914869082,0.92207591951761,0.974675615769062,7.938926261462366e-05
10,0.05323227236853776,0.051584241853692224,0.9201016339278238,0.9674452592721617,0.85785870927156,0.9350009332397498,0.9721802503339964,7.500000000000001e-05
11,0.051411870761956205,0.0491765909237001,0.9131394367011048,0.9652653869246568,0.8495654205976154,0.9245875025810418,0.9701868733907071,7.033683215379003e-05
12,0.049586255519321505,0.04785834947958402,0.9296727274607469,0.9725288442653272,0.8766250245235909,0.939864313593323,0.976401904228862,6.545084971874738e-05
13,0.04767389553769424,0.0459711179145213,0.9217273706084749,0.9718246422644902,0.8719220120496824,0.9214354575112524,0.9753878233862705,6.039558454088797e-05
14,0.04652579153303012,0.04393801781559736,0.9263062904211633,0.973232465682538,0.8780287741050515,0.9276576314759005,0.9766888930638427,5.522642316338269e-05
15,0.04517091610383742,0.04393105308821535,0.9324692622105494,0.9750377876116778,0.8855998237538933,0.936770175266077,0.9783576189558388,5.000000000000002e-05
16,0.04401788331295659,0.04260797647235032,0.9291782374497535,0.97218891271441,0.8760284951399324,0.9393173044949181,0.9761394916413031,4.4773576836617344e-05
17,0.04289144516933891,0.04218462055041503,0.9384736778739396,0.9768260361795039,0.8935565008220758,0.9450384966202389,0.9800078636144092,3.9604415459112035e-05
18,0.04178783135977006,0.0399231327791236,0.9311271594770552,0.9753647234519868,0.8866833423073757,0.931333412671803,0.9785098438923042,3.4549150281252636e-05
19,0.04093768854097395,0.03915585604231163,0.93240277158162,0.9750805524867193,0.8862792352154371,0.9358485270427034,0.9783913704228276,2.966316784621e-05
20,0.03999117914042095,0.039133991577512746,0.9380881644587719,0.9761838802148155,0.8917565845881811,0.946324028573319,0.9795343228810907,2.5000000000000015e-05
21,0.03937973027265199,0.03836943842306993,0.9390907348803975,0.9778470559263445,0.8973658711528908,0.9420592775619571,0.9807691452498861,2.0610737385376352e-05
22,0.03894275051496196,0.038113542057579386,0.9397300477773841,0.9778274718614545,0.8975653793961229,0.943797292074575,0.9807960954137034,1.654346968205711e-05
23,0.038380711620514533,0.03710087513249556,0.9355019373330201,0.9758381858038243,0.8899638113005893,0.9407038148946469,0.9791281869860308,1.2842758726130304e-05
24,0.03783840482781937,0.03672675936567966,0.9368555481672356,0.9766592000109199,0.8930501817527038,0.9408572627380831,0.9797938579942308,9.549150281252636e-06
25,0.03749116000338889,0.037078809223811265,0.9414330705689323,0.9777973607570063,0.8982476155871961,0.9482542353625945,0.9808875206236439,6.698729810778068e-06
26,0.03723300401428033,0.03626007017226774,0.9381017446283697,0.9772122560491971,0.8952636741717817,0.9418293036641303,0.9802625724181835,4.322727117869953e-06
27,0.03690490837027205,0.036236538275634056,0.9396744749998533,0.9774168583057538,0.896461151522956,0.9451454151708502,0.9805071250452025,2.447174185242324e-06
28,0.03682460775882823,0.03614982219446252,0.938919566411165,0.9768869356960566,0.8945444141277624,0.9453273494096763,0.9800862944114633,1.092619963309716e-06
29,0.036705854492227935,0.03655721418472536,0.9418862696304603,0.9778498185003768,0.8986274922335761,0.949181498157428,0.9809528065943761,2.7390523158633003e-07
30,0.03664851795155101,0.036000571490973826,0.9396354487775409,0.9777720704906132,0.8975999478717174,0.943534327970292,0.9807548167352238,0.0
