epoch,train_loss,val_loss,val_miou,iou_ice,iou_thin,iou_open_water,pix_acc,lr
1,0.877759225666523,0.8219616435085809,0.27860870937802185,0.5612824193709411,0.19097862581786226,0.08356508294526205,0.5707850270775574,0.0009972609476841367
2,0.8212232411634631,0.805923750542833,0.254325985851841,0.4808130871079305,0.20174487941103691,0.0804199910365556,0.5103938430627545,0.0009890738003669028
3,0.8033965947787937,0.7873156978030763,0.26678338524297274,0.49566068917068234,0.21931322761400196,0.085376238944234,0.5289790906490243,0.0009755282581475768
4,0.7783771902322769,0.7689625830125619,0.27327561081250556,0.5211276101124356,0.21719364649322712,0.08150557583185405,0.543407551769427,0.0009567727288213003
5,0.7620287246820403,0.7638522726628835,0.27894369939817726,0.5290935922585825,0.22392860872127146,0.08380889721467788,0.5524675938830963,0.0009330127018922195
6,0.7489310272219705,0.7511725767203163,0.2820444933636636,0.5264049408729936,0.2317727767296865,0.08795576248831075,0.554442770800687,0.0009045084971874739
7,0.7424526705247599,0.7223442701310906,0.3001758127608986,0.5545699402099423,0.2416915583954105,0.10426593967734295,0.5843123220674455,0.0008715724127386972
8,0.7245233567749582,0.7080564151415165,0.2968111716242456,0.5390707780137669,0.24807014080801174,0.10329259605095813,0.5737008176840579,0.0008345653031794292
9,0.7215629256353145,0.7114325867362897,0.2954808880038802,0.5411913818388074,0.24622249566315518,0.09902878650967817,0.5729121804224593,0.0007938926261462366
10,0.7071740002166934,0.6957349262538478,0.2943907745309101,0.5317450494963,0.24882136104530722,0.10260591305112307,0.5678020278242359,0.00075
11,0.7007229962363476,0.689079585469294,0.29081044401962247,0.5193225880616029,0.2492058507412407,0.10390289325602375,0.5594315070578693,0.0007033683215379003
12,0.6932847712461542,0.6829251202116132,0.2978064500160172,0.5361812124011393,0.2523075842647606,0.10493055338215182,0.5724921803324728,0.0006545084971874739
